pollster,grade,score,N,ADJpoint_est_error,ADJmargin_error_favor_trump,ADJabs_margin_error,ADJrightcall,ADJerror,point_est_error,margin_error_favor_trump,margin_poll,margin_actual,abs_margin_error,bias,Mpoint_est_error,Mmargin_error_favor_trump,Mabs_margin_error,rightcall,RADJpoint_est_error,RADJmargin_error_favor_trump,RADJabs_margin_error,RADJerror,Rpoint_est_error,Rmargin_error_favor_trump,Rabs_margin_error,Rbias,RADJrightcall,Rrightcall,Overall_Rank,ROverall_Rank
"Market Shares Corp.","A/B",4,25,1.805745,.8015861,.0574048,-.0447668,.0568243,6.9948,3.775201,3.36,7.1352,5.8328,-4.088182,5.189055,2.973615,5.775395,.84,129,99,77,77,129,123,90,9,113,59,103,113
"Humphrey Institute","C/D",12,12,.5409837,-1.794316,1.03862,-.0823316,1.03862,9.697083,11.5625,-.0833333,11.48,17.92083,3.785,9.156099,13.35682,16.88221,.3333333,87,25,119,119,137,138,138,121,123,137,103,113
"Market Research Institute Inc.","B/C",8,11,1.481961,-.5603896,.1398897,.04375,.1398896,4.965454,-.6327276,-2.181818,-2.815454,4.189091,.6336364,3.887664,-.2251715,4.087353,1,124,59,85,85,74,47,35,74,36,1,104.5,115
"PSB Research","B/C",8,19,.8105395,-.9972222,.8659679,-.0440476,.866385,6.047895,-6.963159,-1.473684,-8.435264,7.763158,6.961579,5.535975,-6.333334,7.216231,.6315789,98,39,115,115,117,2,125,135,112,122,106.5,116
"Optimus","B/C",8,16,.7992845,1.307619,.8741846,.0618777,.8725445,6.075625,4.06375,3.424375,7.484375,7.97125,-3.948462,5.27634,2.756131,7.097065,.8125,97,111,116,116,119,125,126,10,25,73,106.5,116
"GfK Group","B/C",8,21,1.443445,-1.215576,.2862195,.0195249,.286816,4.835238,-.6409525,8.642858,8.000476,3.888572,.642381,3.391793,.5746235,3.602352,.8809524,122,33,93,93,69,46,24,75,54,41,107.5,118
"Franklin Pierce University","B/C",8,17,1.182745,-3.734101,.5364172,.0476813,.5362997,5.959706,-2.991176,-.4117647,-3.402353,6.728823,4.464167,4.77696,.7429245,6.192406,.8529412,111,6,104,104,115,20,111,127,30,53,107.5,118
"Mellman Group","B/C",8,22,1.24645,-4.408294,.5390702,.0009089,.5365728,4.745682,-4.420454,4.75,.330909,5.249546,4.419091,3.555889,-.2125372,4.734979,.7954546,115,4,105,105,62,7,67,126,83,81,110,120
"Public Policy Institute of California","A/B",4,16,2.689028,-.7852495,.2334424,.046412,.2313145,8.320625,1.33375,12.375,13.71062,5.1675,-4.372,5.631597,2.118999,4.934057,1,135,51,89,89,136,89,66,8,33,1,112,121
"Rutgers University","B/C",8,14,.6332515,-.8064215,2.091801,-.0616079,2.090697,5.452143,.1471432,5.571429,5.717143,5.712857,-.1457142,4.818891,.9535648,3.621056,.8571429,92,48,133,133,96,62,87,58,120,49,112.5,122
"Lucid","D+",13,25,1.411301,-2.083232,.6726483,.0380306,.6728209,4.8374,-3.8108,2.68,-1.132,4.146,3.812,3.426099,-1.727568,3.473352,.88,119,23,110,110,70,11,32,122,42,43,114.5,123
"ccAdvertising","C/D",12,30,2.0147,2.295781,.4422578,.0285714,.4434004,7.961833,5.731667,-5.623667,.109,7.069666,-5.732666,6.551543,4.124619,6.760086,.8833333,132,127,98,98,134,132,116,2,45,40,115,124
"SoonerPoll.com","B/C",8,20,1.168771,-.7760416,1.130625,-.0302083,1.131375,6.005,-2.883001,-12.795,-15.6755,8.865,5.38,5.069983,-2.262167,7.9605,.8,110,52,122,122,116,21,130,132,107,77,116,125
"Franklin & Marshall College","B/C",8,21,1.114207,-1.647266,1.81758,.0017449,1.81768,5.151667,-.5223798,8.428572,7.905714,6.442381,1.063889,4.090517,1.046445,4.711353,.8571429,106,26,130,130,83,51,104,85,80,49,118,126
"Google Surveys","D+",13,24,3.369848,.6296565,.4985828,.1725809,.4978493,7.121875,.2112486,-3.827917,-3.616667,5.327082,-.21125,3.752027,-.4184079,4.828499,.9166667,138,96,103,103,130,65,71,57,3,28,120.5,127
"Marketing Resource Group (MRG)","B/C",8,10,1.162084,.9909797,2.464499,-.2624157,2.462631,6.532,3,1.2,4.201,9.864,1.696667,5.369916,2.009021,7.399501,.3,109,105,134,134,125,117,135,94,136,138,121.5,128
"Global Strategy Group","B/C",8,22,1.416539,-3.748686,1.360612,-.0454508,1.358765,6.664545,-4.755455,4.590909,-.1622728,6.72,4.753182,5.312395,-1.177164,5.421234,.6818182,120,5,125,125,126,5,110,130,114,117,122.5,129
"Glengariff Group","B/C",8,10,2.770295,-.0709662,.8388706,-.0556905,.8346158,7.605,.7019997,4.17,4.874,5.626,1.26,4.834705,.7729659,4.787129,.8,136,75,113,113,133,79,86,89,119,77,124.5,130
"The Tyson Group","B/C",8,12,2.368748,1.528392,1.121021,.0810541,1.121678,5.759167,2.14,1.666667,3.81,4.706667,-.136,3.390419,.6116076,3.585646,.9583333,133,119,121,121,105,106,50,59,18,14,127,131
"Opinion Research Associates","C/D",12,14,1.389108,-4.840782,3.115902,-.2678571,3.114979,5.871428,-7.709998,6,-1.709286,9.261428,7.709286,4.581542,-3.214987,6.368091,.6071429,118,1,137,137,113,1,132,136,137,124,127.5,132
"WPA Intelligence (WPAi)","B/C",8,17,1.917069,3.331962,1.324825,-.0848589,1.324508,6.416177,2.117059,-6.941176,-4.821177,7.494705,-2.080667,4.724646,-.822907,6.325742,.6764706,131,134,124,124,124,105,124,26,124,119,127.5,132
"ALG Research","B/C",8,15,1.683804,-4.572782,1.800833,-.2445887,1.803615,6.367333,-4.557333,7.5,2.940667,6.522666,4.559333,4.795783,-.2894038,4.841889,.6,127,3,128,129,123,6,107,128,135,125,127.5,132
"Loras College","B/C",8,18,1.709932,-1.454771,2.083455,-.0866936,2.084224,5.857778,-3.302222,.0694444,-3.232222,8.071111,4.338572,4.622827,-2.251554,6.566394,.7222222,128,28,132,132,112,15,127,125,125,105,130,135
"DFM Research","B/C",8,10,1.810432,-2.643632,2.596299,-.175,2.596299,5.0005,-5.429,-4.3,-9.726,6.429,5.426,4.095284,-4.107184,5.130851,.75,130,14,136,136,77,3,102,133,133,95,133,136
"Roanoke College","B/C",8,16,2.463381,-1.51894,2.491633,-.1179326,2.491209,7.203438,-3.051875,10.25,7.198125,8.576875,1.755385,4.740057,-1.532935,6.085242,.78125,134,27,135,135,131,19,128,96,131,85,134.5,137
"Brown University","C/D",12,12,2.820766,2.821666,4.505666,-.11,4.506333,9.827916,5.7825,9.9,15.68417,11.38583,-2.168571,7.477277,3.431111,7.63111,.8333333,137,131,138,138,138,133,136,23,128,62,137.5,138
